;#10. HRI Efficiency_SN10_V1
;
;  HRI End-to-end Response V1
;  Defined with transmittance and reflectance values from files #1. #2. #3. #5 (SN10 filter)
;  Including a grid factor value of 0.81 for each filter
;  HRI Detector response included (file #8)
;
;Lambda (nm)	HRI Optical Efficiency*Detector_SN10
1.1	1.91E-27
1.2	1.20E-25
1.3	3.21E-24
1.4	4.15E-23
1.5	3.39E-22
1.6	1.83E-21
1.7	8.94E-21
1.8	3.23E-20
1.9	7.20E-20
2	2.69E-19
2.1	1.46E-18
2.2	4.14E-17
2.3	1.52E-17
2.4	3.15E-18
2.5	2.04E-13
2.6	7.24E-17
2.7	1.86E-17
2.8	1.15E-16
2.9	4.18E-14
3	5.80E-17
3.1	8.32E-19
3.2	5.42E-17
3.3	2.92E-16
3.4	1.79E-15
3.5	5.65E-12
3.6	5.32E-15
3.7	6.34E-15
3.8	1.39E-14
3.9	1.71E-14
4	3.74E-14
4.1	6.01E-14
4.2	1.49E-13
4.3	1.80E-12
4.4	6.27E-11
4.5	2.45E-12
4.6	9.64E-13
4.7	1.66E-12
4.8	1.34E-12
4.9	1.84E-12
5	2.72E-12
5.1	3.69E-12
5.2	5.16E-12
5.3	6.88E-12
5.4	9.74E-12
5.5	1.55E-11
5.6	3.70E-11
5.7	2.46E-10
5.8	3.32E-09
5.9	5.86E-12
6	6.49E-14
6.1	9.47E-14
6.2	2.56E-13
6.3	4.34E-13
6.4	6.83E-13
6.5	9.71E-13
6.6	1.16E-12
6.7	1.35E-12
6.8	1.58E-12
6.9	1.92E-12
7	2.40E-12
7.1	3.19E-12
7.2	4.16E-12
7.3	5.33E-12
7.4	6.04E-12
7.5	6.97E-12
7.6	8.33E-12
7.7	1.05E-11
7.8	1.46E-11
7.9	2.22E-11
8	3.71E-11
8.1	8.32E-11
8.2	2.12E-10
8.3	6.57E-10
8.4	2.44E-09
8.5	1.20E-08
8.6	5.74E-08
8.7	7.54E-08
8.8	2.67E-08
8.9	8.93E-09
9	3.64E-09
9.1	1.78E-09
9.2	1.07E-09
9.3	7.60E-10
9.4	5.98E-10
9.5	4.74E-10
9.6	3.76E-10
9.7	2.94E-10
9.8	2.30E-10
9.9	1.76E-10
10	1.33E-10
10.1	1.21E-10
10.2	1.13E-10
10.3	1.02E-10
10.4	9.26E-11
10.5	8.73E-11
10.6	8.01E-11
10.7	6.74E-11
10.8	5.41E-11
10.9	4.14E-11
11	3.09E-11
11.1	4.03E-11
11.2	5.11E-11
11.3	6.08E-11
11.4	7.33E-11
11.5	9.31E-11
11.6	1.16E-10
11.7	1.46E-10
11.8	1.47E-10
11.9	1.42E-10
12	1.46E-10
12.1	1.52E-10
12.2	1.34E-10
12.3	3.24E-10
12.4	3.49E-10
12.5	2.44E-10
12.6	1.44E-10
12.7	8.30E-11
12.8	5.20E-11
12.9	2.80E-11
13	1.24E-11
13.1	2.87E-11
13.2	8.20E-11
13.3	1.42E-10
13.4	2.30E-10
13.5	3.50E-10
13.6	5.24E-10
13.7	7.76E-10
13.8	1.15E-09
13.9	1.69E-09
14	2.43E-09
14.1	4.01E-09
14.2	6.38E-09
14.3	9.66E-09
14.4	1.45E-08
14.5	2.32E-08
14.6	3.82E-08
14.7	6.04E-08
14.8	9.38E-08
14.9	1.41E-07
15	2.43E-07
15.1	3.95E-07
15.2	6.53E-07
15.3	1.14E-06
15.4	2.06E-06
15.5	3.30E-06
15.6	5.10E-06
15.7	9.06E-06
15.8	1.67E-05
15.9	2.83E-05
16	4.86E-05
16.1	8.47E-05
16.2	1.63E-04
16.3	2.88E-04
16.4	4.85E-04
16.5	8.37E-04
16.6	1.43E-03
16.7	2.34E-03
16.8	3.55E-03
16.9	3.93E-03
17	1.69E-02
17.1	4.99E-01
17.2	6.44E-01
17.3	7.01E-01
17.4	7.01E-01
17.5	5.90E-01
17.6	3.08E-01
17.7	5.55E-02
17.8	2.75E-02
17.9	3.50E-02
18	2.63E-02
18.1	1.05E-02
18.2	5.19E-03
18.3	5.75E-03
18.4	7.29E-03
18.5	6.26E-03
18.6	3.75E-03
18.7	2.28E-03
18.8	2.05E-03
18.9	2.36E-03
19	2.48E-03
19.1	2.06E-03
19.2	1.50E-03
19.3	1.36E-03
19.4	1.71E-03
19.5	1.69E-03
19.6	1.55E-03
19.7	1.24E-03
19.8	9.79E-04
19.9	8.44E-04
20	8.08E-04
20.1	8.30E-04
20.2	8.59E-04
20.3	8.42E-04
20.4	7.88E-04
20.5	7.15E-04
20.6	6.67E-04
20.7	6.52E-04
20.8	6.42E-04
20.9	6.45E-04
21	6.23E-04
21.1	5.98E-04
21.2	5.61E-04
21.3	5.31E-04
21.4	5.12E-04
21.5	5.05E-04
21.6	4.96E-04
21.7	4.90E-04
21.8	4.84E-04
21.9	4.73E-04
22	4.52E-04
22.1	4.39E-04
22.2	4.31E-04
22.3	4.26E-04
22.4	4.16E-04
22.5	4.09E-04
22.6	4.07E-04
22.7	4.01E-04
22.8	3.94E-04
22.9	3.82E-04
23	3.80E-04
23.1	3.74E-04
23.2	3.65E-04
23.3	3.59E-04
23.4	3.56E-04
23.5	3.50E-04
23.6	3.44E-04
23.7	3.37E-04
23.8	3.33E-04
23.9	3.26E-04
24	3.19E-04
24.1	3.18E-04
24.2	3.16E-04
24.3	3.08E-04
24.4	3.04E-04
24.5	3.09E-04
24.6	2.97E-04
24.7	2.92E-04
24.8	2.89E-04
24.9	2.84E-04
25	2.79E-04
25.1	2.74E-04
25.2	2.71E-04
25.3	2.67E-04
25.4	2.63E-04
25.5	2.59E-04
25.6	2.55E-04
25.7	2.52E-04
25.8	2.48E-04
25.9	2.45E-04
26	2.41E-04
26.1	2.38E-04
26.2	2.35E-04
26.3	2.31E-04
26.4	2.28E-04
26.5	2.26E-04
26.6	2.22E-04
26.7	2.19E-04
26.8	2.16E-04
26.9	2.12E-04
27	2.07E-04
27.1	2.03E-04
27.2	2.01E-04
27.3	1.99E-04
27.4	1.96E-04
27.5	1.94E-04
27.6	1.92E-04
27.7	1.89E-04
27.8	1.87E-04
27.9	1.84E-04
28	1.80E-04
28.1	1.80E-04
28.2	1.81E-04
28.3	1.78E-04
28.4	1.76E-04
28.5	1.73E-04
28.6	1.70E-04
28.7	1.68E-04
28.8	1.65E-04
28.9	1.63E-04
